genome,completeness,contamination,length,N50
ERS12516939.bin.r.19.fa,57.49,0.59,540663,3176
ERS12516941.bin.r.20.fa,52.42,0.78,599293,2337
ERS12516986.bin.r.5.fa,70.02,1.77,756004,2962
CMC018.B.bin.r.106.fa,83.22,0.71,932041,15899
CMC001.B.bin.r.68.fa,59.82,2.13,844727,2255
CMC004.B.bin.r.35.fa,72.57,0.0,1119234,11447
CMC007.B.bin.r.78.fa,61.4,0.95,903546,2378
CMC018.B.bin.r.3.fa,95.04,0.0,1433541,31492
CMC035.B.bin.r.51.fa,95.04,0.0,1444256,20971
CM_periimplantitis__SP_143SPI_T016__bin.3.fa,96.16578014,0.709219858,1500880,33844
CM_periimplantitis__SP_163SPT_T016__bin.27.fa,95.39007092,1.063829787,1469480,24066
CM_periimplantitis__SP_184SPT_T016__bin.14.fa,96.38297872,0.354609929,1369795,13841
CM_periimplantitis__SP_264SPI_T016__bin.17.fa,98.58156028,0.0,1591465,148275
CM_periimplantitis__SP_305SPI_T016__bin.19.fa,98.58156028,0.0,1578335,81810
CM_periimplantitis__SP_384SPI_T016__bin.8.fa,78.88888889,0.709219858,1082135,5071
ERS11702775.bin.r.2.fa,62.67,2.74,982027,2438
ERS11702810.bin.r.6.fa,86.85,2.36,1168501,3933
ERS12516979.bin.r.11.fa,80.32,0.71,1233735,20499
ERS2985750.bin.r.3.fa,97.87,0.0,1641624,34119
ERS2985754.bin.r.11.fa,53.57,1.06,997780,1863
ERS2985770.bin.r.7.fa,98.58,0.14,1665216,129324
ERS2985784.bin.r.9.fa,60.85,1.72,884817,3443
ERS3395767.bin.r.29.fa,77.67,0.22,1022021,2483
ERS3395771.bin.r.35.fa,51.6,0.24,624595,1718
ERS3395772.bin.r.27.fa,75.43,1.61,1034388,3074
ERS3395773.bin.r.19.fa,95.39,0.0,1370928,11458
ERS3774485.bin.r.38.fa,98.58,0.0,1460536,10784
ERS3774489.bin.r.15.fa,97.16,0.35,1406572,9264
ERS3774490.bin.r.25.fa,96.81,0.0,1361257,10751
ERS4545903.bin.r.4.fa,58.58,1.3,916632,2194
ERSX0002001.bin.r.11.fa,95.72,2.15,1420432,10522
ERSX0004003.bin.r.2.fa,88.35,0.02,1301158,5999
ERSX0004004.bin.r.5.fa,54.76,0.78,737117,2021
ERSX0004006.bin.r.3.fa,77.46,2.29,1129602,3027
ERSX0004009.bin.r.1.fa,98.58,7.09,1547194,26972
ERSX0004012.bin.r.7.fa,97.16,0.95,1453475,21613
ERSX0004014.bin.r.6.fa,81.33,3.5,1221541,2487
ERSX0004015.bin.r.5.fa,91.92,0.52,1358260,5150
ERSX0004063.bin.r.3.fa,58.34,0.62,950326,2153
ERSX0004064.bin.r.7.fa,93.43,0.0,1299252,9204
ERSX0004065.bin.r.9.fa,74.17,2.86,1129914,2539
ERSX0004071.bin.r.3.fa,98.47,0.24,1439332,21415
ERSX0004072.bin.r.3.fa,73.26,0.09,1032449,2306
ERSX0004073.bin.r.6.fa,89.46,2.91,1223785,3815
ERSX0004074.bin.r.3.fa,58.52,2.13,788679,1876
ERSX0004075.bin.r.1.fa,69.4,0.24,805834,3379
HMP_2012__SRS014691__bin.3.fa,61.67109929,0.709219858,837728,4680
MGYG000298193.fna,98.58,0.0,1564676,96975
SEQF2630.1.fna,98.58,0.0,1806210,107937
SEQF3171.1.fna,98.58,0.71,1859163,1046411
SRS15300800.bin.r.14.fa,83.52,0.95,1109997,5114
SRS473746.bin.r.48.fa,84.51,1.02,1220979,3933
ERSX0003003.bin.r.21.fa,72.41,0.0,1138125,6728
HMP_2012__SRS016569__bin.4.fa,63.79310345,1.724137931,939561,52335
HMP_2012__SRS019894__bin.60.fa,53.44827586,0.0,623874,339526
CMC004.B.bin.r.80.fa,59.22,0.0,859971,10023
CMC020.B.bin.r.51.fa,70.83,0.71,942988,6624
CMC021.B.bin.r.37.fa,59.72,0.95,879836,4395
CMC033.B.bin.r.42.fa,50.34,0.07,823753,4431
CMC042.B.bin.r.81.fa,75.27,2.01,1153996,2907
CMC010.B.bin.r.88.fa,82.91,1.42,1225736,4376
CMC025.B.bin.r.87.fa,71.75,2.48,1052925,3194
CMC040.B.bin.r.98.fa,82.45,2.48,1355098,5851
CMC027.B.bin.r.11.fa,51.06,0.0,714944,7074
CMC026.B.bin.r.28.fa,64.3,0.0,1078200,11588
CMC045.B.bin.r.87.fa,75.19,1.42,1040005,2667
CMC016.B.bin.r.75.fa,50.89,0.95,759088,5983
ERS12516970.bin.r.124.fa,51.75,0.0,903404,6615
HMP_2012__SRS015434__bin.12.fa,51.77304965,0.0,1066810,55664
HMP_2012__SRS019071__bin.79.fa,70.21276596,0.0,1251938,50952
CMC032.B.bin.r.35.fa,86.7,0.0,1376077,7847
HMP_2012__SRS023617__bin.32.fa,60.63829787,0.0,1306700,182973
HMP_2012__SRS057539__bin.30.fa,51.06382979,0.0,1213483,68805
HMP_2012__SRS049147__bin.1.fa,84.31737589,1.6548463359999999,1280818,7323
HMP_2012__SRS078182__bin.2.fa,68.91252955,2.127659574,1037637,6981
HMP_2012__SRS011306__bin.26.fa,65.24822695,0.0,1284588,26432
HMP_2012__SRS014684__bin.12.fa,51.1820331,0.0,896565,11106
HMP_2012__SRS018791__bin.51.fa,95.39007092,0.709219858,1654606,30631
HMP_2012__SRS019122__bin.41.fa,98.93617021,0.354609929,1658112,87656
HMP_2012__SRS016319__bin.53.fa,72.93144208,0.0,1104821,8932
HMP_2012__SRS057205__bin.56.fa,86.99763593,0.709219858,1329098,8772
HMP_2012__SRS014124__bin.24.fa,73.87706856,0.354609929,1406248,38620
HMP_2012__SRS015893__bin.53.fa,69.5035461,0.709219858,1369986,49861
MGYG000298209.fna,54.14,0.71,1028089,18183
HMP_2012__SRS018300__bin.49.fa,81.32387707,0.0,1453815,35090
HMP_2012__SRS014271__bin.40.fa,71.27659574,0.0,1376518,330019
HMP_2012__SRS047210__bin.54.fa,60.63829787,0.0,1330060,48878
HMP_2012__SRS047219__bin.8.fa,70.21276596,0.0,1292940,450439
HMP_2012__SRS016002__bin.28.fa,56.38297872,1.063829787,1150979,19364
MGYG000298223.fna,80.91,1.89,1514407,4139
HMP_2012__SRS019327__bin.59.fa,54.60992908,0.0,1221723,118963
HMP_2012__SRS024318__bin.56.fa,56.91489362,0.709219858,1047626,8884
HMP_2012__SRS017120__bin.15.fa,58.15602837,0.0,1204510,16168
HMP_2012__SRS017439__bin.23.fa,77.30496454,0.709219858,1418122,62583
HMP_2012__SRS015038__bin.21.fa,65.64716312,1.891252955,1228586,8824
HMP_2012__SRS016086__bin.30.fa,78.28309693,0.709219858,1242508,6641
HMP_2012__SRS048791__bin.39.fa,81.56028369,0.0,1543085,66581
HMP_2012__SRS022143__bin.20.fa,70.14184397,0.0,1262904,17249
HMP_2012__SRS015644__bin.53.fa,53.90070922,0.0,1186682,173011
HMP_2012__SRS015941__bin.7.fa,71.63120567,0.0,1329926,125978
HMP_2012__SRS042131__bin.44.fa,70.21276596,0.709219858,1328437,185533
HMP_2012__SRS048411__bin.25.fa,66.31205674,0.0,1286038,52443
HMP_2012__SRS023926__bin.5.fa,61.34751773,0.709219858,1101147,22972
HMP_2012__SRS014470__bin.40.fa,57.44680851,0.0,1289355,65513
HMP_2012__SRS015057__bin.12.fa,80.4964539,1.418439716,1385014,34174
HMP_2012__SRS064423__bin.13.fa,66.90307329,0.354609929,1262038,23522
HMP_2012__SRS065278__bin.5.fa,62.517730500000006,0.709219858,1276863,24129
HMP_2012__SRS011115__bin.72.fa,60.28368794,1.418439716,1205362,35468
HMP_2012__SRS021496__bin.73.fa,81.678487,0.709219858,1345280,10348
HMP_2012__SRS019974__bin.37.fa,64.18439716,0.0,1267393,55879
HMP_2012__SRS057791__bin.28.fa,53.44827586,0.0,1169313,32769
HMP_2012__SRS044373__bin.81.fa,70.26004728,0.709219858,1331896,49590
HMP_2012__SRS018591__bin.32.fa,67.37588652,0.0,1330458,109877
HMP_2012__SRS051791__bin.16.fa,69.5035461,0.0,1356899,217892
HMP_2012__SRS023352__bin.51.fa,69.73995272,0.0,1168045,41766
HMP_2012__SRS062761__bin.6.fa,71.69030733,0.0,1321098,9542
HMP_2012__SRS024138__bin.34.fa,82.86052009,0.945626478,1213944,7216
HMP_2012__SRS016740__bin.48.fa,84.75177305,0.0,1351188,7866
HMP_2012__SRS012279__bin.89.fa,54.96453901,0.0,1092785,214147
MGYG000298492.fna,75.77,0.59,1273923,16687
HMP_2012__SRS016342__bin.20.fa,62.83687943,0.0,1187283,19960
HMP_2012__SRS064774__bin.32.fa,68.79432624,0.0,1355925,75590
HMP_2012__SRS055426__bin.35.fa,77.30496454,3.723404255,1391782,6451
MGYG000298414.fna,87.77,1.42,1431673,7725
HMP_2012__SRS047824__bin.52.fa,71.63120567,0.709219858,1334295,123638
HMP_2012__SRS014573__bin.79.fa,60.34482759,0.0,1296795,39742
MGYG000299007.fna,95.39,0.0,1570902,41285
HMP_2012__SRS024081__bin.31.fa,95.03546099,0.709219858,1589006,28673
MGYG000298878.fna,91.43,1.42,1524311,18557
ERS12516981.bin.r.16.fa,55.3,0.0,1091467,19900
ERS12516986.bin.r.13.fa,65.85,1.09,969271,4108
HMP_2012__SRS056323__bin.23.fa,69.5035461,0.354609929,1280554,18355
MGYG000298871.fna,89.72,1.09,1473227,10496
MGYG000299002.fna,91.13,0.0,1492257,24957
MGYG000299034.fna,76.6,2.13,1280727,4516
MGYG000298036.fna,88.59,1.42,1406303,6107
SEQF3053.1.fna,99.29,0.0,1815831,1815831
HMP_2012__SRS024580__bin.46.fa,87.30053191,2.836879433,1428504,8942
MGYG000298096.fna,95.04,4.96,1626275,45706
HMP_2012__SRS020856__bin.27.fa,82.89154846,3.5460992910000004,1526816,10827
HMP_2012__SRS042643__bin.11.fa,65.60283688,0.0,1262180,36931
MGYG000298423.fna,87.41,0.71,1465163,19495
MGYG000298893.fna,97.16,0.07,1535808,32321
HMP_2012__SRS020220__bin.51.fa,89.20803783,1.122931442,1388819,9065
ERS12516979.bin.r.5.fa,54.79,0.73,1127262,11179
HMP_2012__SRS022621__bin.62.fa,59.57446809,0.0,1021832,17643
HMP_2012__SRS023835__bin.32.fa,51.72413793,1.724137931,1022823,5925
ERS12516954.bin.r.6.fa,70.24,2.36,1197474,3132
MGYG000298593.fna,70.6,2.2,1265641,3265
ERS12516983.bin.r.12.fa,82.39,0.71,1356887,5342
ERS12516960.bin.r.26.fa,58.91,0.59,919038,2118
ERS12516994.bin.r.38.fa,73.2,2.13,1287076,3899
BritoIL_2016__W3.22.SA__bin.21.fa,52.482269499999994,0.0,1283925,284623
ERS12516978.bin.r.61.fa,51.8,0.71,848777,2850
MGYG000298166.fna,90.66,0.0,1808795,1808795
MGYG000298187.fna,95.72,0.0,1665220,1417331
CM_periimplantitis__SP_143SPI_T016__bin.14.fa,51.20689655,1.724137931,960297,4191
ERS6256687.bin.r.13.fa,74.89,2.01,969935,4445
ERS6256719.bin.r.5.fa,78.89,1.54,1082204,4903
CMC022.B.bin.r.42.fa,58.62,0.0,785022,6345
CMC024.B.bin.r.75.fa,78.84,0.24,1023692,8699
CMC038.B.bin.r.102.fa,77.49,0.71,962435,3602
CMC035.B.bin.r.110.fa,53.33,0.0,588654,1964
SEQF2857.1.fna,97.99,0.71,1862768,1862768
SRS4625245.bin.r.29.fa,94.33,0.48,1429855,18136
SRS4625246.bin.r.14.fa,63.12,2.01,994188,2442
SRS4625247.bin.r.7.fa,50.76,1.18,769897,1843
ERS3774419.bin.r.9.fa,70.94,1.06,1106993,4747
ERS3774424.bin.r.12.fa,81.3,1.36,1314999,5578
ERS3774422.bin.r.56.fa,61.64,1.42,805363,2041
ERS3774425.bin.r.3.fa,67.68,3.71,1069875,3525
CMC022.B.bin.r.47.fa,74.82,0.0,1401045,56739
ERS3774422.bin.r.1.fa,85.76,0.43,1314448,9356
ERS3774424.bin.r.15.fa,91.85,1.56,1499010,8689
CMC024.B.bin.r.104.fa,91.6,2.84,1291122,8687
CMC035.B.bin.r.102.fa,74.48,1.72,1233105,8949
ERS11702770.bin.r.3.fa,83.23,2.01,1149812,4519
ERS11702787.bin.r.5.fa,82.09,3.84,1132164,3285
ERS2985743.bin.r.2.fa,67.12,1.44,1028883,2550
ERS2985750.bin.r.8.fa,96.45,1.42,1573092,35427
ERS2985754.bin.r.4.fa,68.78,1.32,972269,2502
ERS2985769.bin.r.9.fa,70.99,0.73,1053020,3832
ERS3395773.bin.r.21.fa,67.07,0.26,917271,3435
ERS3774402.bin.r.1.fa,60.17,2.2,718609,1949
ERS3774485.bin.r.23.fa,87.62,1.61,1114381,3783
ERSX0002001.bin.r.10.fa,73.37,0.0,1123343,5490
SRS15300800.bin.r.7.fa,78.46,2.48,1023144,2700
SRS473746.bin.r.44.fa,81.38,2.6,1095755,4470
CMC018.B.bin.r.155.fa,51.76,0.09,582121,1805
CMC026.B.bin.r.86.fa,60.49,1.24,805315,2078
ERS3395772.bin.r.2.fa,63.32,2.29,826166,2207
ERS3774489.bin.r.17.fa,94.44,1.06,1366677,12534
CMC022.B.bin.r.13.fa,86.71,2.13,1136488,4420
SRS4625245.bin.r.22.fa,85.37,3.19,1379693,7680
SRS4625245.bin.r.16.fa,92.97,2.48,1491090,21895
CMC010.B.bin.r.25.fa,96.1,0.35,1652462,35827
CMC035.B.bin.r.61.fa,97.52,0.0,1627505,123361
CMC038.B.bin.r.139.fa,96.1,0.0,1644324,54134
ERS11702771.bin.r.8.fa,57.31,2.72,791188,3735
ERS11702809.bin.r.8.fa,55.38,3.48,714242,1730
ERS2985748.bin.r.11.fa,76.45,2.72,947296,3114
ERS2985760.bin.r.7.fa,78.96,5.87,1222407,8602
ERS3774468.bin.r.11.fa,85.82,1.09,1093311,29922
ERS6205395.bin.r.10.fa,70.2,0.35,884493,3159
ERS6256718.bin.r.1.fa,87.23,1.06,1110278,11556
ERSX0002001.bin.r.15.fa,95.74,1.09,1378728,149531
ERSX0003003.bin.r.17.fa,72.57,2.59,913757,6384
SRS15300801.bin.r.14.fa,86.48,5.67,1097468,8197
SRS15300802.bin.r.3.fa,80.09,2.36,1070105,5999
SRS15300805.bin.r.22.fa,65.65,2.03,802611,3271
SRS6212663.bin.r.8.fa,79.43,1.8,1037556,5572
ERS2985770.bin.r.20.fa,55.97,0.59,802881,2017
ERSX0002001.bin.r.5.fa,85.15,1.63,1145768,5805
CM_periimplantitis__SP_305SPI_T016__bin.13.fa,95.39007092,1.418439716,1737712,32338
MGYG000298079.fna,98.94,0.71,1840341,28378
ERS2985750.bin.r.18.fa,66.91,1.06,1008286,2251
ERS3774490.bin.r.31.fa,58.79,0.24,757588,2600
CMC023.A.bin.r.40.fa,76.36,0.35,1038697,6342
CMC038.B.bin.r.100.fa,60.85,0.0,800997,4837
ERS3395771.bin.r.20.fa,64.91,1.42,802169,2876
SEQF2789.1.fna,98.94,0.0,1829558,129203
ERS3774489.bin.r.13.fa,92.55,0.77,1419281,6372
CMC018.B.bin.r.123.fa,95.39,2.13,1413440,15240
ERS2985776.bin.r.5.fa,50.82,2.98,733344,3408
ERS6256692.bin.r.11.fa,90.43,0.0,1130249,16837
ERS4042427.bin.r.16.fa,53.24,0.71,626338,3182
ERSX0003002.bin.r.15.fa,87.94,0.71,1246034,10890
SRS3078200.bin.r.4.fa,57.81,4.37,839206,1634
ERSX0004105.bin.r.3.fa,80.65,3.01,1231050,4296
ERSX0004107.bin.r.3.fa,96.81,0.35,1728089,19604
ERSX0004106.bin.r.4.fa,91.18,0.35,1415489,6519
ERSX0004024.bin.r.2.fa,50.3,0.9,707378,1554
ERSX0004062.bin.r.1.fa,51.3,1.51,725500,1635
ERSX0004071.bin.r.1.fa,95.39,0.35,1695964,28065
ERSX0004072.bin.r.5.fa,93.74,1.32,1576794,11067
ERSX0004067.bin.r.3.fa,91.47,1.09,1557174,13127
ERSX0004064.bin.r.6.fa,84.39,1.73,1356897,3100
ERSX0004073.bin.r.1.fa,96.81,0.35,1613869,23594
ERSX0004102.bin.r.11.fa,96.1,0.38,1641489,17465
ERSX0004103.bin.r.3.fa,95.39,0.35,1629365,31103
ERSX0004083.bin.r.4.fa,77.14,0.73,1316117,5090
ERSX0004085.bin.r.7.fa,75.45,1.09,1203332,4124
ERSX0004003.bin.r.5.fa,91.13,0.35,1559507,26562
ERSX0004004.bin.r.7.fa,96.1,2.48,1561566,11026
ERSX0004005.bin.r.4.fa,78.87,2.41,1273327,4601
ERSX0004006.bin.r.2.fa,91.32,0.35,1530667,9173
ERSX0004009.bin.r.5.fa,89.72,0.71,1600347,17122
ERSX0004011.bin.r.5.fa,95.39,0.71,1751121,15839
ERSX0004012.bin.r.2.fa,93.26,1.77,1741764,37130
ERSX0004013.bin.r.1.fa,94.68,0.35,1698790,20736
ERSX0004014.bin.r.3.fa,93.03,2.72,1649913,14017
ERSX0004015.bin.r.6.fa,96.81,0.35,1786695,46827
ERSX0004016.bin.r.7.fa,78.92,2.67,1183968,4765
ERSX0004018.bin.r.5.fa,94.68,0.35,1616443,18453
ERSX0004017.bin.r.5.fa,78.52,0.71,1144403,3550
ERSX0004020.bin.r.1.fa,95.74,1.06,1625784,12955
ERSX0004033.bin.r.4.fa,67.08,1.42,941824,2137
ERSX0004050.bin.r.1.fa,50.27,0.02,695221,1734
ERSX0004021.bin.r.3.fa,96.81,0.35,1640546,25242
ERSX0004019.bin.r.7.fa,96.1,0.35,1834406,30239
ERS6256714.bin.r.3.fa,63.97,1.42,898212,2898
ERS6256717.bin.r.8.fa,85.97,2.01,1460988,5464
ERS3774468.bin.r.14.fa,89.01,0.95,1477911,20297
ERS6256698.bin.r.14.fa,76.86,2.72,1337362,4022
SRS15300800.bin.r.10.fa,96.81,0.35,1713038,36652
SRS15300811.bin.r.8.fa,91.13,0.35,1609377,35007
SRS15300795.bin.r.12.fa,96.81,0.35,1598834,27137
SRS15300793.bin.r.10.fa,91.6,0.59,1638748,9054
SRS3078175.bin.r.4.fa,56.18,0.61,940478,1772
ERSX0004060.bin.r.5.fa,96.1,1.77,1673357,22230
ERSX0004063.bin.r.2.fa,95.74,0.35,1737076,36661
ERSX0004066.bin.r.8.fa,87.59,3.9,1577300,28886
ERSX0004070.bin.r.5.fa,96.81,0.35,1650826,27800
ERSX0004074.bin.r.4.fa,94.15,1.3,1606820,13110
SRS4625237.bin.r.1.fa,87.03,2.95,1499075,5999
SRS4625245.bin.r.18.fa,94.33,1.06,1560294,18142
CMC018.B.bin.r.9.fa,64.6,1.42,884100,4848
CMC023.A.bin.r.110.fa,95.18,0.0,1410513,20643
CMC021.B.bin.r.85.fa,67.29,0.43,857512,4671
CMC035.B.bin.r.84.fa,96.81,0.35,1736113,89875
CMC038.B.bin.r.20.fa,94.33,0.35,1359584,19094
CMC004.B.bin.r.39.fa,89.83,1.06,1471045,10146
ERS3395771.bin.r.28.fa,93.14,0.71,1598770,30120
ERS3395772.bin.r.4.fa,93.14,0.35,1600712,23673
ERS2985777.bin.r.6.fa,59.64,0.0,1009062,3393
ERS3774490.bin.r.27.fa,79.65,1.8,1188108,3089
ERS11702731.bin.r.11.fa,95.39,1.06,1592773,31484
ERS3395773.bin.r.39.fa,95.04,0.35,1576182,38189
ERS3774473.bin.r.4.fa,69.92,0.71,1122521,3152
ERS11702726.bin.r.4.fa,93.97,0.35,1653093,31563
SRS473746.bin.r.2.fa,96.81,2.84,1704055,56060
ERS11702727.bin.r.4.fa,91.84,0.59,1435150,8776
ERS3395767.bin.r.5.fa,93.38,0.35,1473461,12051
ERS2985756.bin.r.5.fa,91.95,3.61,1544809,6799
ERS2985785.bin.r.4.fa,66.05,7.2,1088980,2047
ERS2985778.bin.r.1.fa,82.6,4.68,1571969,5912
SRS3078192.bin.r.1.fa,67.59,0.02,1093087,3092
ERS11702787.bin.r.8.fa,89.25,0.35,1550892,12047
ERS2985751.bin.r.7.fa,56.82,1.06,780335,3191
ERS11702781.bin.r.6.fa,95.39,2.84,1612429,15656
ERS11702810.bin.r.2.fa,52.72,4.85,739934,1582
ERS11702739.bin.r.2.fa,96.1,0.71,1652165,26697
ERS11702758.bin.r.2.fa,72.74,0.59,1102376,3340
ERS11702801.bin.r.7.fa,86.94,1.06,1422925,7264
ERS11702780.bin.r.3.fa,66.89,1.56,1099127,2268
ERS6205398.bin.r.6.fa,92.91,2.01,1506384,14027
ERS3774477.bin.r.2.fa,83.47,3.24,1228767,4409
ERS6256712.bin.r.5.fa,82.39,3.01,1321630,6102
ERS6205397.bin.r.2.fa,60.98,0.24,937911,1901
SRS3078131.bin.r.6.fa,89.81,3.99,1398543,3408
ERS6205386.bin.r.3.fa,86.02,2.43,1398948,4354
ERS6205387.bin.r.9.fa,75.35,3.0,1242545,2788
ERS6256686.bin.r.4.fa,59.52,3.8,831915,1903
ERS6256724.bin.r.7.fa,90.31,1.09,1522714,6720
ERS6636085.bin.r.9.fa,68.66,0.24,869231,3011
ERS6636090.bin.r.7.fa,69.52,0.26,997651,3399
ERS6636099.bin.r.20.fa,95.51,0.35,1604201,14514
ERS6636154.bin.r.7.fa,96.81,2.13,1615620,17671
ERSX0003002.bin.r.8.fa,93.03,0.59,1479756,18945
ERSX0003003.bin.r.49.fa,93.97,0.35,1569354,17974
SRS11653594.bin.r.3.fa,62.85,4.63,838914,2232
SRS7212802.bin.r.9.fa,56.83,0.02,952133,1950
ERSX0003001.bin.r.24.fa,93.95,0.71,1574447,22321
SRS11653593.bin.r.4.fa,70.02,1.12,958095,2130
ERS6256728.bin.r.3.fa,95.37,2.15,1539303,17372
ERS6256699.bin.r.5.fa,90.71,1.82,1517950,12174
ERS6256727.bin.r.5.fa,92.98,1.02,1561863,9816
ERS6256725.bin.r.10.fa,96.1,1.3,1630933,19663
SRS7212799.bin.r.6.fa,76.91,1.84,1230241,3405
SRS6212663.bin.r.7.fa,64.45,2.66,1168867,2228
ERS2985744.bin.r.2.fa,64.63,4.85,1106662,2124
ERS11702805.bin.r.6.fa,89.65,0.64,1417977,6265
SRS3078158.bin.r.7.fa,69.55,1.42,1101655,3224
ERS4042427.bin.r.8.fa,84.47,1.51,1317528,5674
ERS11702767.bin.r.3.fa,73.32,3.59,1207356,3358
ERS11702742.bin.r.4.fa,74.39,0.75,1215927,3794
ERS11702772.bin.r.4.fa,84.85,1.8,1366094,4545
ERS6256697.bin.r.5.fa,94.54,1.06,1595926,24967
ERS4042435.bin.r.15.fa,77.04,1.09,1114311,2762
ERS6205393.bin.r.6.fa,92.14,0.35,1521244,13358
ERS11702784.bin.r.5.fa,69.28,1.06,1021733,2228
SRS3078156.bin.r.8.fa,93.4,0.38,1587354,21171
ERS11702768.bin.r.5.fa,84.78,2.15,1433697,6176
ERS2985776.bin.r.9.fa,94.68,2.96,1716061,44317
ERS2985742.bin.r.5.fa,85.22,3.64,1505997,6215
ERS11702770.bin.r.14.fa,94.86,2.91,1600837,13163
ERS11702757.bin.r.3.fa,77.6,0.5,1378192,5032
ERS2985754.bin.r.6.fa,96.1,0.35,1666724,56386
ERS2985770.bin.r.17.fa,93.26,2.48,1673285,16828
ERS11702789.bin.r.4.fa,64.28,0.0,1045706,3334
ERS2985775.bin.r.11.fa,90.32,4.28,1496690,11074
ERS3636092.bin.r.7.fa,75.3,1.06,1160148,4131
ERS11702776.bin.r.13.fa,95.39,0.35,1668740,53449
ERS11702812.bin.r.6.fa,90.83,2.15,1474836,7458
ERSX0002001.bin.r.52.fa,96.1,0.35,1688204,109299
ERS2985750.bin.r.5.fa,91.84,1.42,1595404,39128
ERS2985784.bin.r.3.fa,89.08,1.32,1565726,12317
ERS11702738.bin.r.7.fa,86.7,1.3,1313820,7472
ERS3774484.bin.r.6.fa,82.36,0.38,1274882,4310
ERS6205395.bin.r.11.fa,87.55,0.35,1459489,7457
ERS6205391.bin.r.3.fa,61.85,2.25,1092094,2053
ERS3774481.bin.r.2.fa,88.84,1.09,1431015,7581
ERS2985774.bin.r.6.fa,58.93,2.72,1020892,2941
ERS11702775.bin.r.5.fa,78.69,0.4,1361739,2821
ERS2985748.bin.r.10.fa,58.83,1.44,1036198,3078
ERS2985760.bin.r.5.fa,96.81,1.21,1640519,30310
ERS3774485.bin.r.33.fa,91.78,0.71,1445817,7191
ERS2985759.bin.r.1.fa,95.67,0.77,1568558,26052
SRS3078163.bin.r.7.fa,92.67,2.2,1584924,8330
ERS6256713.bin.r.6.fa,81.6,1.77,1385653,4075
ERS4042423.bin.r.3.fa,86.04,1.06,1252321,6402
ERS11702732.bin.r.10.fa,94.68,2.84,1654114,10974
ERS4042431.bin.r.9.fa,94.11,1.48,1470516,9954
ERSX0004108.bin.r.1.fa,85.32,2.01,1381459,5002
CM_periimplantitis__SP_264SPI_T016__bin.11.fa,55.96631206,1.418439716,1005945,3089
ERS3774489.bin.r.16.fa,82.69,1.73,1278099,3704
SRS6212655.bin.r.2.fa,90.8,1.42,1469092,7948
SRS3078195.bin.r.8.fa,72.57,2.04,1136192,2501
SRS6212661.bin.r.3.fa,76.44,2.48,1271316,3781
ERSX0004059.bin.r.4.fa,95.74,0.59,1569525,31251
SEQF3052.1.fna,96.81,0.6,1906764,1903428
ERSX0004075.bin.r.4.fa,96.1,0.59,1656116,29534
ERS3774465.bin.r.4.fa,95.39,1.06,1572391,10102
ERS3774448.bin.r.6.fa,90.43,2.5,1454055,7685
ERS6256700.bin.r.6.fa,58.25,0.73,847097,3056
SRS3078181.bin.r.12.fa,56.93,2.39,989473,1786
ERS3774470.bin.r.1.fa,54.67,0.35,720324,1784
ERS3774441.bin.r.19.fa,77.36,2.79,1236739,2541
SRS15300796.bin.r.4.fa,93.55,1.06,1716971,15291
SRS15300801.bin.r.11.fa,91.13,1.06,1501917,24934
SRS15300803.bin.r.10.fa,91.76,1.06,1605738,12029
SRS15300794.bin.r.10.fa,89.45,1.8,1397536,6031
SRS15300791.bin.r.4.fa,95.39,0.43,1638424,28408
SRS15300802.bin.r.19.fa,96.81,1.42,1662799,26228
SRS15300805.bin.r.23.fa,96.1,1.77,1821714,18912
SRS15300787.bin.r.14.fa,89.55,1.3,1547183,11924
SRS15300788.bin.r.5.fa,94.72,0.71,1664093,17159
ERS6256701.bin.r.9.fa,67.75,1.77,1092751,3362
ERS6256703.bin.r.3.fa,86.94,0.71,1244966,3311
ERS6256693.bin.r.5.fa,92.2,3.69,1599278,5930
ERS6256705.bin.r.4.fa,89.02,1.06,1471057,6622
ERS6256704.bin.r.5.fa,69.7,2.48,942701,2066
ERS6256716.bin.r.8.fa,89.3,2.34,1512829,7455
ERS6256718.bin.r.4.fa,93.26,0.78,1591125,24505
ERS6256719.bin.r.9.fa,89.34,3.9,1491797,7653
ERS3774458.bin.r.2.fa,90.62,0.35,1566112,13511
ERS6256709.bin.r.8.fa,94.85,2.29,1605410,6938
ERS3774464.bin.r.22.fa,95.74,0.35,1574979,20896
SRS6212658.bin.r.2.fa,66.56,1.06,1168296,2224
ERS2985783.bin.r.9.fa,70.25,2.72,1248795,2786
ERS4042406.bin.r.20.fa,78.78,1.06,1213107,6003
CMC011.B.bin.r.38.fa,97.52,0.35,1740632,116447
CMC016.B.bin.r.30.fa,90.78,0.71,1551466,18961
CMC028.B.bin.r.53.fa,90.36,0.0,1451855,45928
CMC006.B.bin.r.37.fa,97.52,0.35,1658432,175970
CMC024.B.bin.r.33.fa,96.1,0.35,1618382,74714
CMC030.B.bin.r.22.fa,97.52,0.0,1644399,214128
CMC010.B.bin.r.35.fa,80.72,2.3,1272758,4337
CMC017.B.bin.r.25.fa,91.59,2.13,1477076,11224
CMC018.B.bin.r.1.fa,92.91,1.42,1453160,11065
CMC022.B.bin.r.62.fa,97.52,0.35,1743671,274000
CMC023.A.bin.r.51.fa,96.45,0.35,1498471,38559
